individual,group,A,B,C,D,E,F,G,H,I,J,K,L,M
32,July,7,1,1,2,0,5,0,2,0,0,7,1,6
32,July,6,1,1,1,1,0,0,2,1,1,6,1,6
29,July,7,2,2,1,1,1,1,2,0,1,5,0,6
27,July,6,2,1,0,0,2,0,2,0,1,6,0,7
46,July,8,2,3,2,2,2,2,2,2,1,10,0,10
41,July,7,3,2,0,2,5,1,5,0,3,2,2,9
39,July,12,0,1,0,0,6,2,4,0,4,0,0,10
22,July,5,0,0,0,0,0,0,1,0,2,1,1,12
30,July,9,0,0,6,0,2,0,1,0,1,0,2,9
39,July,13,0,1,3,0,3,0,2,0,1,2,1,13
39,July,7,0,0,1,0,3,0,2,0,5,2,1,18
34,July,9,0,0,1,0,2,0,1,0,4,1,0,16
36,July,7,0,2,0,0,3,1,0,0,3,2,3,15
43,July,8,0,1,0,0,2,2,0,0,4,3,1,22
48,July,10,0,1,0,0,2,1,2,0,6,3,2,21
41,July,5,2,0,2,3,4,0,0,0,1,0,4,20
44,July,6,3,0,0,0,6,2,1,0,1,1,0,24
48,July,8,4,0,0,0,3,1,0,0,2,0,3,27
45,July,8,0,0,2,2,0,0,2,0,0,0,3,28
48,July,5,1,0,4,4,0,3,1,0,2,0,3,25
28,August,3,0,0,0,0,0,0,0,0,0,0,0,25
48,August,12,4,2,0,7,2,0,0,0,0,1,2,18
30,August,2,0,0,0,0,0,0,0,0,1,0,1,26
33,August,4,2,1,0,0,0,0,0,0,0,0,3,23
40,August,4,3,3,5,0,0,0,0,0,2,0,2,21
43,August,3,2,0,0,4,0,0,4,0,2,0,3,25
35,August,4,1,1,0,2,0,0,2,3,4,0,2,16
25,August,2,0,0,0,10,0,0,0,0,0,0,0,13
38,August,0,0,0,2,0,0,0,0,0,0,0,0,36
20,September,5,0,0,2,1,0,0,1,0,4,1,1,5
27,September,7,1,0,0,0,0,0,3,0,0,0,0,16
10,September,2,0,0,0,0,0,0,0,0,0,0,0,8
20,September,6,0,0,1,0,0,0,2,0,0,1,0,10
30,September,4,0,0,0,0,6,0,0,0,0,3,0,17
47,September,11,1,0,1,0,2,0,0,4,0,0,0,28
34,September,9,0,0,7,0,2,0,0,0,5,0,0,11
37,September,7,0,0,2,0,1,0,0,0,3,2,0,22
32,September,6,1,0,0,0,2,1,0,0,3,0,0,19
30,September,7,0,12,0,0,0,0,0,0,4,0,0,7
49,September,10,1,0,0,2,3,1,2,0,6,2,0,22
41,September,6,0,0,0,1,4,2,0,0,3,1,0,24
49,October,2,0,0,0,0,2,0,0,0,0,0,0,45
35,October,4,1,0,1,0,3,0,2,0,0,0,0,24
49,October,8,3,0,3,0,2,0,0,0,0,0,1,32
39,October,2,2,0,0,1,0,0,0,0,0,1,0,33
43,October,2,2,0,2,3,3,0,0,0,0,0,0,31
35,October,1,0,0,0,2,2,2,1,0,1,0,0,26
33,October,3,0,0,0,0,0,0,2,1,0,2,0,25
33,October,2,2,0,0,1,5,0,0,0,0,0,0,23
